cust_id,similar_customers
C0001,"[('C0072', 0.9847206227255982), ('C0190', 0.9833095234699603), ('C0069', 0.973171973276409)]"
C0002,"[('C0029', 0.9994935937462505), ('C0010', 0.998255862990652), ('C0088', 0.9778607937423629)]"
C0003,"[('C0178', 0.9999594656642551), ('C0052', 0.9919512288552529), ('C0166', 0.9856339951821534)]"
C0004,"[('C0021', 0.9997222367139702), ('C0101', 0.9975715232788246), ('C0075', 0.9939548400209102)]"
C0005,"[('C0112', 0.9988753266462415), ('C0197', 0.997770565376757), ('C0186', 0.9858273665304803)]"
C0006,"[('C0117', 0.9969390421279423), ('C0168', 0.9795118636806549), ('C0185', 0.958616925365911)]"
C0007,"[('C0120', 0.997601113264628), ('C0140', 0.9777006008598813), ('C0050', 0.9615414049763911)]"
C0008,"[('C0113', 0.9423476579689026), ('C0124', 0.9006082455677642), ('C0179', 0.8082840514158035)]"
C0009,"[('C0077', 0.9997727621063942), ('C0083', 0.9963168476668732), ('C0010', 0.9750653625316337)]"
C0010,"[('C0029', 0.9996289013399583), ('C0002', 0.998255862990652), ('C0111', 0.9800906317521638)]"
C0011,"[('C0064', 0.9626769343018667), ('C0137', 0.9120059353823983), ('C0135', 0.855874924753661)]"
C0012,"[('C0100', 0.9705711227584436), ('C0104', 0.966621596164964), ('C0136', 0.9632532115640704)]"
C0013,"[('C0143', 0.999938253044725), ('C0099', 0.9863464417575674), ('C0053', 0.9773311766943666)]"
C0014,"[('C0151', 0.9957812180017671), ('C0128', 0.9935830461924895), ('C0097', 0.9861261732212994)]"
C0015,"[('C0132', 0.9860246393522359), ('C0036', 0.9845496117538785), ('C0131', 0.9783579046229632)]"
C0016,"[('C0183', 0.9999318816930065), ('C0107', 0.9924315984231923), ('C0149', 0.9719712194887377)]"
C0017,"[('C0090', 0.9728625736657593), ('C0004', 0.9724041371630234), ('C0075', 0.9694187950969668)]"
C0018,"[('C0187', 0.9979047998989241), ('C0171', 0.9942912601416244), ('C0006', 0.9362397883679477)]"
C0019,"[('C0116', 0.9793887461089167), ('C0047', 0.9417418253926471), ('C0121', 0.8876748087026753)]"
C0020,"[('C0140', 0.9817930716333754), ('C0120', 0.9352465751776029), ('C0007', 0.932719917869406)]"
